generation,fitness,num_collisions
1,734.630000,2221
2,801.730000,2119
3,752.550000,2428
4,784.445000,2314
5,807.495000,2580
6,844.425000,2723
7,935.210000,2537
8,964.190000,2731
9,942.335000,2961
10,990.190000,3152
11,1068.285000,3017
12,1074.665000,3158
13,1078.260000,3256
14,1103.795000,3259
15,1059.505000,3500
16,1118.835000,3270
17,1152.375000,3392
18,1139.245000,5506
19,1119.220000,3626
20,1111.365000,3557
21,1172.770000,3626
22,1162.425000,3500
23,1124.175000,3695
24,1190.200000,3510
25,1153.355000,3678
26,1181.705000,3597
27,1192.740000,3509
28,1222.210000,3404
29,1170.905000,3513
30,1225.870000,3444
31,1157.700000,3807
32,1171.940000,3470
33,1186.945000,3589
34,1210.450000,3665
35,1214.075000,3642
36,1218.995000,3696
37,1216.330000,3819
38,1245.140000,3702
39,1232.865000,3904
40,1282.615000,3786
41,1254.955000,3909
42,1281.605000,3771
43,1301.580000,3741
44,1309.450000,3911
45,1298.485000,3871
46,1324.200000,3820
47,1321.730000,3920
48,1328.635000,3828
49,1311.305000,4119
50,1362.980000,3763
51,1327.795000,4097
52,1312.275000,3998
53,1355.160000,3873
54,1355.705000,3884
55,1336.195000,3878
56,1312.820000,3868
57,1306.865000,3964
58,1284.735000,3901
59,1329.155000,3815
60,1317.785000,3953
61,1341.460000,3865
62,1334.260000,4069
63,1352.475000,3893
64,1373.785000,3781
65,1331.570000,4013
66,1294.445000,4355
67,1381.690000,3849
68,1329.160000,4126
69,1381.495000,3797
70,1324.615000,3836
71,1297.150000,3931
72,1311.115000,3891
73,1343.675000,4035
74,1372.535000,3924
75,1405.915000,3996
76,1330.620000,4047
77,1339.730000,4046
78,1431.950000,3647
79,1378.065000,3954
80,1403.540000,3994
81,1380.305000,3838
82,1369.575000,4080
83,1412.085000,3836
84,1429.035000,3838
85,1379.510000,4298
86,1444.630000,3857
87,1415.090000,4129
88,1429.420000,4077
89,1434.120000,4228
90,1425.455000,4236
91,1408.400000,4283
92,1397.155000,4283
93,1442.640000,4169
94,1422.100000,4421
95,1462.060000,4213
96,1438.135000,4358
97,1430.015000,4994
98,1374.160000,7339
99,1436.900000,4380
100,1406.375000,4339
101,1434.800000,4272
102,1465.825000,4258
103,1459.380000,4193
104,1439.955000,4286
105,1474.050000,4209
106,1460.740000,4247
107,1461.500000,4252
108,1455.155000,4315
109,1410.985000,4494
110,1462.605000,4274
111,1457.650000,4374
112,1453.295000,4335
113,1473.090000,4166
114,1425.160000,6578
115,1456.190000,4236
116,1435.355000,4287
117,1457.575000,4327
118,1466.490000,4249
119,1452.895000,4128
120,1420.020000,4418
121,1457.895000,4259
122,1442.540000,4261
123,1431.075000,4174
124,1431.415000,4131
125,1441.470000,4115
126,1404.005000,4215
127,1420.665000,4220
128,1464.230000,4035
129,1437.685000,6506
130,1442.335000,4215
131,1432.460000,4091
132,1431.080000,4205
133,1456.590000,4023
134,1447.550000,4038
135,1459.830000,4066
136,1448.300000,4186
137,1430.775000,4246
138,1428.650000,4213
139,1476.400000,4378
140,1464.495000,4143
141,1456.840000,4096
142,1490.620000,4046
143,1463.725000,4009
144,1442.980000,4033
145,1489.440000,3905
146,1406.675000,4367
147,1452.845000,4192
148,1407.505000,4447
149,1478.620000,3947
150,1465.735000,4101
151,1429.985000,4706
152,1414.030000,4312
153,1443.985000,4137
154,1495.360000,3881
155,1476.715000,4100
156,1455.825000,4187
157,1438.105000,4263
158,1480.620000,4045
159,1450.175000,4289
160,1462.815000,4181
161,1424.540000,4199
162,1450.670000,4039
163,1432.785000,4295
164,1447.455000,4220
165,1437.200000,4230
166,1550.955000,3886
167,1446.295000,4155
168,1522.055000,4246
169,1496.985000,4189
170,1540.605000,3908
171,1508.640000,4133
172,1420.690000,4375
173,1425.680000,4455
174,1405.880000,4399
175,1473.315000,4146
176,1489.840000,4291
177,1437.200000,4283
178,1462.440000,4064
179,1429.620000,4245
180,1448.870000,4079
181,1495.740000,4031
182,1446.395000,4289
183,1448.990000,5338
184,1467.195000,3934
185,1477.480000,4042
186,1416.715000,4375
187,1393.695000,5864
188,1517.575000,3985
189,1416.185000,4448
190,1462.625000,4540
191,1535.445000,3929
192,1480.145000,4392
193,1446.240000,4595
194,1471.070000,4294
195,1523.675000,3775
196,1363.710000,4839
197,1432.955000,4636
198,1368.470000,5016
199,1379.055000,4716
200,1471.440000,4182
201,1363.935000,18897
202,1409.240000,5497
203,1467.310000,9641
204,1425.505000,4166
205,1440.895000,4297
206,1356.895000,4799
207,1353.770000,4664
208,1374.205000,4618
209,1517.705000,4052
210,1364.035000,4710
211,1489.925000,4274
212,1456.645000,5342
213,1435.045000,4366
214,1331.355000,4877
215,1478.550000,4040
216,1353.365000,5001
217,1424.980000,4492
218,1430.530000,4369
219,1422.005000,4500
220,1384.140000,4486
221,1414.170000,4443
222,1468.045000,4736
223,1522.205000,4001
224,1453.405000,4479
225,1473.880000,5664
226,1385.730000,4904
227,1407.340000,4742
228,1453.590000,4475
229,1457.405000,4348
230,1441.130000,4977
231,1466.550000,4196
232,1375.215000,4677
233,1400.345000,4521
234,1473.405000,4355
235,1440.650000,4552
236,1445.375000,4340
237,1434.745000,4284
238,1384.630000,4657
239,1399.175000,4391
240,1497.910000,4107
241,1351.545000,4606
242,1420.495000,4338
243,1539.440000,3772
244,1486.960000,4093
245,1442.935000,4824
246,1463.555000,4430
247,1409.095000,4656
248,1376.070000,4832
249,1495.220000,4142
250,1430.990000,4299
251,1390.155000,4466
252,1491.590000,4123
253,1460.535000,4205
254,1376.010000,4556
255,1454.620000,4567
256,1497.830000,4169
257,1427.215000,4848
258,1453.165000,4342
259,1502.250000,4018
260,1439.955000,4119
261,1472.535000,4158
262,1354.080000,4709
263,1446.070000,4203
264,1459.155000,4291
265,1558.610000,4012
266,1503.710000,4186
267,1380.340000,4787
268,1432.555000,4305
269,1421.890000,4629
270,1408.980000,5510
271,1398.100000,5344
272,1437.485000,4314
273,1389.070000,4729
274,1427.930000,4632
275,1467.960000,4248
276,1356.985000,4907
277,1406.085000,4676
278,1433.430000,4508
279,1412.695000,4400
280,1439.030000,4425
281,1388.190000,4446
282,1534.675000,4076
283,1442.685000,4356
284,1399.490000,5071
285,1411.730000,4457
286,1366.235000,6234
287,1489.000000,3987
288,1356.190000,4688
289,1462.555000,4101
290,1513.490000,4037
291,1452.520000,4167
292,1461.245000,4323
293,1444.940000,6417
294,1379.985000,4590
295,1404.915000,4478
296,1457.955000,4313
297,1375.010000,4617
298,1408.550000,4582
299,1452.065000,4793
300,1442.460000,4516
301,1505.685000,4250
302,1451.310000,4292
303,1389.540000,4404
304,1380.125000,4775
305,1403.750000,4087
306,1442.890000,4471
307,1398.540000,4493
308,1435.400000,4525
309,1458.975000,4355
310,1452.815000,4446
311,1458.580000,4372
312,1497.450000,4309
313,1491.290000,4204
314,1439.230000,4325
315,1448.140000,4397
316,1469.515000,4215
317,1463.385000,4321
318,1456.425000,4323
319,1441.030000,4422
320,1483.355000,4304
321,1426.710000,4479
322,1381.685000,4397
323,1454.720000,4383
324,1390.485000,4545
325,1464.585000,6199
326,1412.105000,4563
327,1448.375000,4403
328,1443.060000,4384
329,1441.880000,4195
330,1384.565000,4465
331,1528.115000,4015
332,1413.840000,4280
333,1406.415000,4493
334,1423.670000,4243
335,1387.130000,5310
336,1543.000000,3974
337,1416.335000,5619
338,1465.440000,4030
339,1473.705000,4265
340,1441.945000,4389
341,1366.675000,4620
342,1403.070000,4608
343,1430.635000,4163
344,1508.930000,4066
345,1442.425000,4197
346,1449.290000,4536
347,1397.275000,4673
348,1435.590000,4061
349,1368.965000,10973
350,1408.375000,4403
351,1457.965000,5649
352,1493.115000,4093
353,1449.915000,4266
354,1493.680000,4123
355,1474.645000,4199
356,1455.165000,4391
357,1537.260000,3988
358,1417.380000,4447
359,1497.785000,4077
360,1461.900000,4597
361,1500.755000,4035
362,1527.265000,3978
363,1438.995000,4282
364,1369.185000,6778
365,1403.760000,4460
366,1465.930000,4211
367,1407.080000,4279
368,1413.665000,4345
369,1381.350000,4677
370,1467.855000,4212
371,1448.980000,4229
372,1486.670000,4187
373,1386.580000,5102
374,1411.840000,4368
375,1404.100000,4387
376,1465.015000,4210
377,1332.030000,6079
378,1417.755000,4473
379,1457.850000,4261
380,1380.180000,4824
381,1443.860000,5012
382,1535.715000,3938
383,1425.885000,4542
384,1509.760000,4044
385,1415.280000,4698
386,1405.175000,5772
387,1409.835000,4586
388,1374.040000,4679
389,1523.225000,3873
390,1447.355000,4288
391,1449.250000,4249
392,1401.700000,4636
393,1400.510000,6330
394,1400.790000,6533
395,1413.250000,4338
396,1531.310000,3952
397,1502.775000,4073
398,1350.345000,6632
399,1427.430000,4501
400,1331.380000,4779
401,1303.435000,4778
402,1393.660000,4102
403,1442.055000,4291
404,1433.090000,4298
405,1358.745000,4444
406,1379.955000,4499
407,1429.085000,4189
408,1439.930000,4078
409,1331.025000,5076
410,1469.335000,4182
411,1450.235000,4336
412,1401.175000,4186
413,1374.725000,4507
414,1369.870000,4719
415,1505.915000,3983
416,1537.635000,3752
417,1464.075000,4350
418,1418.010000,4505
419,1359.935000,4914
420,1382.285000,4579
421,1409.775000,4523
422,1338.200000,4737
423,1436.095000,4283
424,1546.000000,4144
425,1402.060000,4500
426,1477.255000,4132
427,1468.910000,4242
428,1509.425000,4107
429,1459.320000,4972
430,1490.735000,4184
431,1397.875000,4623
432,1297.390000,8414
433,1383.610000,4812
434,1418.000000,4614
435,1470.120000,4244
436,1427.765000,5972
437,1531.390000,3965
438,1449.240000,4484
439,1314.680000,5157
440,1368.720000,4665
441,1391.045000,4805
442,1381.970000,4720
443,1456.250000,6992
444,1401.085000,4565
445,1478.305000,4635
446,1491.980000,4752
447,1497.950000,4025
448,1496.980000,5714
449,1424.390000,5720
450,1426.685000,5005
451,1488.475000,4537
452,1487.560000,5652
453,1448.730000,4540
454,1503.940000,4311
455,1599.560000,3725
456,1474.670000,5241
457,1508.150000,4838
458,1390.980000,5130
459,1515.005000,4457
460,1526.710000,4168
461,1462.100000,4605
462,1470.825000,4141
463,1554.245000,4140
464,1511.245000,4750
465,1603.475000,3818
466,1462.770000,5767
467,1402.065000,4817
468,1445.280000,4551
469,1261.425000,7524
470,1381.755000,4875
471,1363.100000,4953
472,1416.175000,4602
473,1444.820000,4321
474,1305.745000,6133
475,1360.950000,4841
476,1417.255000,4392
477,1408.175000,4588
478,1491.910000,6046
479,1396.075000,4429
480,1438.235000,4413
481,1504.860000,3953
482,1440.810000,4309
483,1455.300000,6740
484,1449.400000,4508
485,1407.980000,4592
486,1447.970000,4559
487,1450.185000,4142
488,1444.380000,4327
489,1461.445000,5265
490,1425.535000,4528
491,1395.755000,4441
492,1330.795000,6145
493,1486.340000,5872
494,1316.275000,5058
495,1490.170000,4228
496,1434.085000,4367
497,1426.290000,5101
498,1525.400000,4019
499,1394.890000,6728
500,1458.525000,4531
501,1524.320000,4288
502,1412.970000,4868
503,1424.280000,4539
504,1453.345000,4374
505,1293.770000,5086
506,1443.895000,5223
507,1333.200000,6269
508,1369.730000,7628
509,1441.855000,4620
510,1350.425000,5497
511,1346.945000,4902
512,1424.620000,4786
513,1452.655000,5892
514,1460.915000,6001
515,1483.035000,4140
516,1467.330000,4103
517,1500.175000,4343
518,1426.220000,4875
519,1416.850000,4763
520,1439.785000,4792
521,1476.605000,4336
522,1498.490000,4273
523,1360.385000,5006
524,1475.505000,4609
525,1534.090000,4015
526,1336.085000,4839
527,1412.400000,4934
528,1426.760000,4571
529,1526.065000,4007
530,1412.475000,4602
531,1457.175000,4347
532,1476.270000,4217
533,1538.210000,5182
534,1449.175000,4399
535,1336.030000,4781
536,1352.895000,5842
537,1447.580000,4342
538,1341.550000,5081
539,1414.740000,6007
540,1404.540000,4720
541,1445.320000,4350
542,1533.180000,4219
543,1455.955000,4631
544,1477.675000,4339
545,1444.880000,4584
546,1424.630000,5527
547,1455.260000,6073
548,1471.090000,4455
549,1340.185000,7197
550,1550.775000,3875
551,1403.605000,5689
552,1477.685000,4793
553,1433.345000,4609
554,1517.800000,4294
555,1440.575000,4604
556,1431.790000,4497
557,1507.860000,4912
558,1481.785000,4192
559,1452.450000,5425
560,1413.355000,5862
561,1473.890000,4346
562,1471.915000,4634
563,1421.205000,4645
564,1464.440000,4386
565,1503.995000,4320
566,1339.690000,4891
567,1555.040000,4078
568,1262.370000,5335
569,1389.655000,4738
570,1310.625000,4974
